stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
10,1,14.0,29.41285518999939,,29.40069873000175,29.41285518999939,29.90974188799737,0.515153880995058,29.927246195002226,30.210560325002007,34.43448117499793,right,14.0,1,1,4.510019029999967,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
11,0.5,13.0,34.44689683100296,,34.43466966899723,34.44689683100296,34.9426964230006,0.5152894359998754,34.9617406920006,35.244442105002236,36.41865740399953,left,-13.0,0,0,1.4516061930044089,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
12,0.5,13.5,36.431052097002976,,36.41894626800058,36.431052097002976,36.927061112000956,0.5152036919971579,36.94575593600166,37.228748155001085,47.851663262998045,left,-13.5,0,0,10.91504859500128,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
13,0.5,14.0,47.86380089299928,,47.85186265200173,47.86380089299928,48.35981189599988,0.5153707079953165,48.37960985799873,48.660684613998455,48.684039462998044,right,14.0,0,0,0.3079929779996746,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
14,0.5,14.5,48.69621305399778,,48.68422769600147,48.69621305399778,49.195530092998524,0.5159929159999592,49.21191495600215,,49.41980428399984,left,-14.5,1,1,0.2142506250020233,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
15,0.5,14.5,49.432133335998515,,49.419985296997766,49.432133335998515,49.9261781919995,0.5121913660041173,49.94438815700414,,49.951067046997196,right,14.5,0,0,0.0018602720010676421,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
16,0.5,15.0,49.96312816799764,,49.95126029699895,49.96312816799764,50.457388217997504,0.5118045049966895,50.4742946280021,50.75953035499697,51.09894822299975,left,-15.0,0,0,0.6202860789999249,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
17,0.5,15.5,51.110506937002356,,51.099142871004005,51.110506937002356,51.61231871099881,0.5011482659974718,51.62825677199726,,51.885448745997564,left,-15.5,1,1,0.2763121090029017,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
18,0.5,15.5,51.89779852900392,,51.885681794003176,51.89779852900392,52.39353298700007,0.5139116249993094,52.41159908100235,52.70506338099949,52.732197520002956,left,-15.5,0,0,0.3132872960050008,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
19,0.5,16.0,52.748952469999494,,52.73246633400413,52.748952469999494,53.241137586999685,0.5148110869995435,53.2583537160026,53.53885610499856,53.56219264300307,left,-16.0,0,0,0.3075669169993489,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
20,0.5,16.5,53.57397214299999,,53.56250339800317,53.57397214299999,54.076376762997825,0.5022907160018804,54.076376762997825,,54.319356355998025,left,-16.5,1,1,0.24945863799803192,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
21,0.5,16.5,54.331610551002086,,54.31954191299883,54.331610551002086,54.82718011600082,0.5137488940017647,54.8444442589971,55.1270101150003,55.233845898001164,right,16.5,1,1,0.3964772690014797,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
