46.0444 	INFO 	Loaded monitor calibration from ['2024_08_09 11:23']
7.6920 	EXP 	textStudyTrials: autoDraw = True
8.6708 	EXP 	textStudyTrials: autoDraw = False
8.6708 	EXP 	textBlank: autoDraw = True
9.1590 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'WordItem': 'excitement', 'WordColor': 'blue', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
9.1785 	EXP 	textBlank: autoDraw = False
9.1785 	EXP 	textStudyTrials: foreColor = <psychopy.colors.Color: blue, alpha=1.0>
9.1785 	EXP 	textStudyTrials: height = 0.05
9.1785 	EXP 	textStudyTrials: height = 0.05
9.1785 	EXP 	textStudyTrials: height = 0.05
9.1785 	EXP 	textStudyTrials: text = 'excitement'
9.1785 	EXP 	textStudyTrials: autoDraw = True
10.1745 	EXP 	textStudyTrials: autoDraw = False
10.1745 	EXP 	textBlank: autoDraw = True
10.6688 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'WordItem': 'sad', 'WordColor': 'blue', 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
10.6866 	EXP 	textBlank: autoDraw = False
10.6866 	EXP 	textStudyTrials: foreColor = <psychopy.colors.Color: blue, alpha=1.0>
10.6866 	EXP 	textStudyTrials: height = 0.05
10.6866 	EXP 	textStudyTrials: height = 0.05
10.6866 	EXP 	textStudyTrials: height = 0.05
10.6866 	EXP 	textStudyTrials: text = 'sad'
10.6866 	EXP 	textStudyTrials: autoDraw = True
11.6782 	EXP 	textStudyTrials: autoDraw = False
11.6782 	EXP 	textBlank: autoDraw = True
12.1803 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'WordItem': 'anxiety', 'WordColor': 'blue', 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
12.1986 	EXP 	textBlank: autoDraw = False
12.1986 	EXP 	textStudyTrials: foreColor = <psychopy.colors.Color: blue, alpha=1.0>
12.1986 	EXP 	textStudyTrials: height = 0.05
12.1986 	EXP 	textStudyTrials: height = 0.05
12.1986 	EXP 	textStudyTrials: height = 0.05
12.1986 	EXP 	textStudyTrials: text = 'anxiety'
12.1986 	EXP 	textStudyTrials: autoDraw = True
13.1716 	EXP 	textStudyTrials: autoDraw = False
13.1716 	EXP 	textBlank: autoDraw = True
13.6566 	EXP 	New trial (rep=0, index=4): <Trial 4 (4 in rep 0) data={'WordItem': 'croissant', 'WordColor': 'red', 'thisN': 4, 'thisTrialN': 4, 'thisRepN': 0}>
13.6728 	EXP 	textBlank: autoDraw = False
13.6728 	EXP 	textBlank: autoDraw = False
13.6728 	EXP 	textStudyTrials: foreColor = <psychopy.colors.Color: red, alpha=1.0>
13.6728 	EXP 	textStudyTrials: height = 0.05
13.6728 	EXP 	textStudyTrials: height = 0.05
13.6728 	EXP 	textStudyTrials: height = 0.05
13.6728 	EXP 	textStudyTrials: text = 'croissant'
13.6728 	EXP 	textStudyTrials: autoDraw = True
14.6746 	EXP 	textStudyTrials: autoDraw = False
14.6746 	EXP 	textBlank: autoDraw = True
15.1666 	EXP 	New trial (rep=0, index=5): <Trial 5 (5 in rep 0) data={'WordItem': 'psychology', 'WordColor': 'red', 'thisN': 5, 'thisTrialN': 5, 'thisRepN': 0}>
15.1833 	EXP 	textBlank: autoDraw = False
15.1833 	EXP 	textStudyTrials: foreColor = <psychopy.colors.Color: red, alpha=1.0>
15.1833 	EXP 	textStudyTrials: height = 0.05
15.1833 	EXP 	textStudyTrials: height = 0.05
15.1833 	EXP 	textStudyTrials: height = 0.05
15.1833 	EXP 	textStudyTrials: text = 'psychology'
15.1833 	EXP 	textStudyTrials: autoDraw = True
16.1723 	EXP 	textStudyTrials: autoDraw = False
16.1723 	EXP 	textBlank: autoDraw = True
16.6729 	INFO 	Keyboard events cleared
16.6711 	EXP 	textBlank: autoDraw = False
16.6711 	EXP 	textBlank: autoDraw = False
16.6711 	EXP 	textWaitScreen: autoDraw = True
19.7177 	DATA 	Keypress: 1
19.7269 	EXP 	textWaitScreen: autoDraw = False
19.7269 	EXP 	Blank: autoDraw = True
20.2340 	INFO 	Keyboard events cleared
20.2322 	EXP 	Blank: autoDraw = False
20.2322 	EXP 	textY_N_Screen: autoDraw = True
24.6323 	DATA 	Keypress: space
24.6415 	EXP 	textY_N_Screen: autoDraw = False
24.6415 	EXP 	textBlank: autoDraw = True
25.1415 	EXP 	Imported /Users/shrutigupta/Downloads/Word_stimuli.xlsx as conditions, 11 conditions, 2 params
25.1423 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'WordItem': 'depression', 'WordColor': None, 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
25.1589 	INFO 	Keyboard events cleared
25.1570 	EXP 	textBlank: autoDraw = False
25.1570 	EXP 	textTestTrials: height = 0.05
25.1570 	EXP 	textTestTrials: height = 0.05
25.1570 	EXP 	textTestTrials: height = 0.05
25.1570 	EXP 	textTestTrials: text = 'depression'
25.1570 	EXP 	textTestTrials: autoDraw = True
26.7569 	DATA 	Keypress: y
26.7695 	EXP 	textTestTrials: autoDraw = False
26.7695 	EXP 	textBlank: autoDraw = True
27.2577 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'WordItem': 'anxiety', 'WordColor': 'blue', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
27.2750 	INFO 	Keyboard events cleared
27.2729 	EXP 	textBlank: autoDraw = False
27.2729 	EXP 	textTestTrials: height = 0.05
27.2729 	EXP 	textTestTrials: height = 0.05
27.2729 	EXP 	textTestTrials: height = 0.05
27.2729 	EXP 	textTestTrials: text = 'anxiety'
27.2729 	EXP 	textTestTrials: autoDraw = True
28.0640 	DATA 	Keypress: y
28.0730 	EXP 	textTestTrials: autoDraw = False
28.0730 	EXP 	textBlank: autoDraw = True
28.5576 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'WordItem': 'psychology', 'WordColor': 'red', 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
28.5741 	INFO 	Keyboard events cleared
28.5724 	EXP 	textBlank: autoDraw = False
28.5724 	EXP 	textBlank: autoDraw = False
28.5724 	EXP 	textTestTrials: height = 0.05
28.5724 	EXP 	textTestTrials: height = 0.05
28.5724 	EXP 	textTestTrials: height = 0.05
28.5724 	EXP 	textTestTrials: text = 'psychology'
28.5724 	EXP 	textTestTrials: autoDraw = True
29.4044 	DATA 	Keypress: y
29.4173 	EXP 	textTestTrials: autoDraw = False
29.4173 	EXP 	textBlank: autoDraw = True
29.9088 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'WordItem': 'keyboard', 'WordColor': None, 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
29.9265 	INFO 	Keyboard events cleared
29.9243 	EXP 	textBlank: autoDraw = False
29.9243 	EXP 	textTestTrials: height = 0.05
29.9243 	EXP 	textTestTrials: height = 0.05
29.9243 	EXP 	textTestTrials: height = 0.05
29.9243 	EXP 	textTestTrials: text = 'keyboard'
29.9243 	EXP 	textTestTrials: autoDraw = True
30.6849 	DATA 	Keypress: n
30.6946 	EXP 	textTestTrials: autoDraw = False
30.6946 	EXP 	textBlank: autoDraw = True
31.1877 	EXP 	New trial (rep=0, index=4): <Trial 4 (4 in rep 0) data={'WordItem': 'sad', 'WordColor': 'blue', 'thisN': 4, 'thisTrialN': 4, 'thisRepN': 0}>
31.2037 	INFO 	Keyboard events cleared
31.2018 	EXP 	textBlank: autoDraw = False
31.2018 	EXP 	textTestTrials: height = 0.05
31.2018 	EXP 	textTestTrials: height = 0.05
31.2018 	EXP 	textTestTrials: height = 0.05
31.2018 	EXP 	textTestTrials: text = 'sad'
31.2018 	EXP 	textTestTrials: autoDraw = True
32.0200 	DATA 	Keypress: y
32.0295 	EXP 	textTestTrials: autoDraw = False
32.0295 	EXP 	textBlank: autoDraw = True
