reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
27.0,50.0,21.0,16,2,2,l,0.725071109000055,None,2,2,16,2,26.02249301500069,,26.011383152000235,26.02249301500069,27.004616526000063,27.004616526000063,27.03703983700052,27.73884497600011,l,0.725071109000055,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
78.0,80.0,162.0,17,3,2,t,0.25238675600030547,None,2,3,17,6,27.75500443100009,,27.743695934000243,27.75500443100009,28.757956640000884,28.757956640000884,28.757956640000884,29.019621836000624,t,0.25238675600030547,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
40.0,55.0,62.0,18,4,2,l,0.5888945639999292,None,2,4,18,3,29.03596602000016,,29.02492758900007,29.03596602000016,30.022005699000147,30.022005699000147,30.036396338000486,30.62633463400016,l,0.5888945639999292,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
15.0,35.0,13.0,19,5,2,t,0.7681699519998801,None,2,5,19,1,30.643481160000192,,30.630674633000126,30.643481160000192,31.634545562000312,31.634545562000312,31.65167395000026,32.410362492000786,t,0.7681699519998801,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
49.0,60.0,89.0,20,6,2,l,0.8746582949997901,None,2,6,20,4,32.42638855700079,,32.41441118700004,32.42638855700079,33.41653020100057,33.41653020100057,33.43180448900057,34.296215116000894,l,0.8746582949997901,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
15.0,35.0,13.0,21,0,3,t,0.6130973680001262,None,3,0,21,1,34.311891737000224,,34.300369044000036,34.311891737000224,35.297636316000535,35.297636316000535,35.31152196400035,35.91599092400065,t,0.6130973680001262,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
40.0,55.0,62.0,22,1,3,l,0.7003667090002637,None,3,1,22,3,35.932090005000646,,35.9200050390009,35.932090005000646,36.91974357900017,36.91974357900017,36.9346433970004,37.624754951000796,l,0.7003667090002637,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
78.0,80.0,162.0,23,2,3,t,0.3525624699996115,None,3,2,23,6,37.640275968000424,,37.6288837280008,37.640275968000424,38.62811241600048,38.62811241600048,38.64265635300035,38.99267404700004,t,0.3525624699996115,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
67.0,75.0,119.0,24,3,3,l,0.28117493299942,None,3,3,24,5,39.00802210300026,,38.997077334000096,39.00802210300026,40.004885278000074,40.004885278000074,40.004885278000074,40.295785983000314,l,0.28117493299942,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
27.0,50.0,21.0,25,4,3,l,0.35495335399991745,None,3,4,25,2,40.31108717100051,,40.29975843700049,40.31108717100051,41.29952631800006,41.29952631800006,41.31553828200049,41.66584061100002,l,0.35495335399991745,None,163653,001,2024-11-21_22h33.51.759,delay discounting,2024.2.1,74.6104330019953,2024-11-21 22h34.00.988954 +0530,
