pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
50,c,10,2,2,c,1,1.362166131000322,None,2,2,10,2,,,,,32.28054381000038,,32.26917206899998,32.28054381000038,33.275169885000196,33.275169885000196,33.275169885000196,33.275169885000196,33.300045929000134,34.27548138500015,34.27548138500015,35.64098468600014,c,1,1.362166131000322,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
-150,z,11,3,2,z,1,0.9478540270001758,None,2,3,11,3,,,,,35.653719962000196,,35.64149552000026,35.653719962000196,36.649815022999974,36.649815022999974,36.649815022999974,36.649815022999974,36.66308957199999,37.648694849000094,37.648694849000094,38.60491300400008,z,1,0.9478540270001758,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
-50,x,12,0,3,x,1,0.9714680619999854,None,3,0,12,0,,,,,38.616213023,,38.60527761000003,38.616213023,39.61049298500029,39.61049298500029,39.61049298500029,39.61049298500029,39.624588723000215,40.6123013360002,40.6123013360002,41.58855238900014,x,1,0.9714680619999854,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
150,v,13,1,3,v,1,1.897276045000126,None,3,1,13,1,,,,,41.60020033700039,,41.589051356000255,41.60020033700039,42.591839152000375,42.591839152000375,42.591839152000375,42.591839152000375,42.61665480600004,43.59479021900006,43.59479021900006,45.55346380800029,v,1,1.897276045000126,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
50,c,14,2,3,c,1,10.142200186000082,None,3,2,14,2,,,,,45.56805598600022,,45.55454528400014,45.56805598600022,46.56398327500028,46.56398327500028,46.56398327500028,46.56398327500028,46.56398327500028,47.56113120200007,47.56113120200007,57.70920960900003,c,1,10.142200186000082,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
-150,z,15,3,3,z,1,0.9117456940002739,None,3,3,15,3,,,,,57.720836168000005,,57.70958646899999,57.720836168000005,58.710639535000155,58.710639535000155,58.710639535000155,58.710639535000155,58.725095152999984,59.71138668599997,59.71138668599997,60.6307259160003,z,1,0.9117456940002739,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
-50,x,16,0,4,x,1,0.7515185669999482,None,4,0,16,0,,,,,60.64378669600001,,60.631211781000275,60.64378669600001,61.63762621700016,61.63762621700016,61.63762621700016,61.63762621700016,61.65167717899976,62.64228243700063,62.64228243700063,63.40276895800025,x,1,0.7515185669999482,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
150,v,17,1,4,v,1,0.7750047879999329,None,4,1,17,1,,,,,63.413540596000075,,63.403137476999746,63.413540596000075,64.410598037,64.410598037,64.410598037,64.410598037,64.410598037,65.4101430400001,65.4101430400001,66.19189810699982,v,1,0.7750047879999329,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
50,c,18,2,4,c,1,0.7638392310000199,None,4,2,18,2,,,,,66.20445850199985,,66.19237334899981,66.20445850199985,67.197517221,67.197517221,67.197517221,67.197517221,67.21132777100001,68.1933124330003,68.1933124330003,68.96202214300001,c,1,0.7638392310000199,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
-150,z,19,3,4,z,1,0.7777773170000728,None,4,3,19,3,,,,,68.9747839100005,,68.96239242300044,68.9747839100005,69.96289449000005,69.96289449000005,69.96289449000005,69.96289449000005,69.97817612500012,70.96655375300043,70.96655375300043,71.74830236200023,z,1,0.7777773170000728,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
-50,x,20,0,5,x,1,0.801863224999579,None,5,0,20,0,,,,,71.76025236600026,,71.74874540700011,71.76025236600026,72.76769995200038,72.76769995200038,72.76769995200038,72.76769995200038,72.76769995200038,73.74795466500063,73.74795466500063,74.55291547600018,x,1,0.801863224999579,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
150,v,21,1,5,v,1,0.9904799400001139,None,5,1,21,1,,,,,74.5639442480001,,74.55329395699982,74.5639442480001,75.55303211599994,75.55303211599994,75.55303211599994,75.55303211599994,75.56726434500024,76.5614444429998,76.5614444429998,77.55934625300006,v,1,0.9904799400001139,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
50,c,22,2,5,c,1,0.9719940000004499,None,5,2,22,2,,,,,77.5704842199998,,77.559714128,77.5704842199998,78.5572297270005,78.5572297270005,78.5572297270005,78.5572297270005,78.57042738800055,79.56413360499982,79.56413360499982,80.54315444200029,c,1,0.9719940000004499,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
-150,z,23,3,5,z,1,0.8645297099992604,None,5,3,23,3,,,,,80.5544522920004,,80.54368910499988,80.5544522920004,81.56437303099983,81.56437303099983,81.56437303099983,81.56437303099983,81.56437303099983,82.55147848600018,82.55147848600018,83.43117159599979,z,1,0.8645297099992604,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
-50,x,24,0,6,x,1,0.8656174369998553,None,6,0,24,0,,,,,83.44340732000046,,83.43171232499981,83.44340732000046,84.43920079200007,84.43920079200007,84.43920079200007,84.43920079200007,84.45222211900045,85.4422495140002,85.4422495140002,86.3208326429999,x,1,0.8656174369998553,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
150,v,25,1,6,v,1,0.872657664000144,None,6,1,25,1,,,,,86.33221147199993,,86.32130580800049,86.33221147199993,87.32391918500025,87.32391918500025,87.32391918500025,87.32391918500025,87.34121498200011,88.32404873299993,88.32404873299993,89.22289754599979,v,1,0.872657664000144,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
50,c,26,2,6,c,1,1.1294124180003564,None,6,2,26,2,,,,,89.23394947800034,,89.22328479599992,89.23394947800034,90.22768500000029,90.22768500000029,90.22768500000029,90.22768500000029,90.24239697300027,91.22635624399982,91.22635624399982,92.36352469999974,c,1,1.1294124180003564,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
-150,z,27,3,6,z,1,1.0853726659997847,None,6,3,27,3,,,,,92.37553282500039,,92.36390362400061,92.37553282500039,93.3635958710006,93.3635958710006,93.3635958710006,93.3635958710006,93.37711672900014,94.36093717300037,94.36093717300037,95.45497013500017,z,1,1.0853726659997847,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
-50,x,28,0,7,x,1,0.6872057489999861,None,7,0,28,0,,,,,95.46625434200041,,95.455332043,95.46625434200041,96.46244659700051,96.46244659700051,96.46244659700051,96.46244659700051,96.46244659700051,97.46370743699981,97.46370743699981,98.15332490100036,x,1,0.6872057489999861,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
150,v,29,1,7,v,1,0.8737654000005932,None,7,1,29,1,,,,,98.16421526500062,,98.1537028910002,98.16421526500062,99.16596282799992,99.16596282799992,99.16596282799992,99.16596282799992,99.18363663100035,100.1554133730001,100.1554133730001,101.03973390200053,v,1,0.8737654000005932,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
50,c,30,2,7,c,1,0.7768518610000683,None,7,2,30,2,,,,,101.05116710599987,,101.04009387900032,101.05116710599987,102.04911721800045,102.04911721800045,102.04911721800045,102.04911721800045,102.06579932300019,103.04228682500025,103.04228682500025,103.8276364340004,c,1,0.7768518610000683,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
-150,z,31,3,7,z,1,0.8169839970005341,None,7,3,31,3,,,,,103.84017898499997,,103.8279993910005,103.84017898499997,104.82510493500058,104.82510493500058,104.82510493500058,104.82510493500058,104.83978304099992,105.82511585200018,105.82511585200018,106.64734258100043,z,1,0.8169839970005341,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
-50,x,32,0,8,x,1,0.7346910770002069,None,8,0,32,0,,,,,106.65880931699985,,106.64781631200049,106.65880931699985,107.65665801800014,107.65665801800014,107.65665801800014,107.65665801800014,107.66888996199987,108.64889953100055,108.64889953100055,109.38818455200044,x,1,0.7346910770002069,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
150,v,33,1,8,v,1,0.7148058189995936,None,8,1,33,1,,,,,109.40065726200055,,109.38871296000025,109.40065726200055,110.3996784269998,110.3996784269998,110.3996784269998,110.3996784269998,110.41317726100033,111.40348709900036,111.40348709900036,112.12400213899991,v,1,0.7148058189995936,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
50,c,34,2,8,c,1,0.8027753779997511,None,8,2,34,2,,,,,112.13665493500002,,112.12443300800032,112.13665493500002,113.12757826999996,113.12757826999996,113.12757826999996,113.12757826999996,113.14311552499976,114.12569776100054,114.12569776100054,114.93353804400022,c,1,0.8027753779997511,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
-150,z,35,3,8,z,1,0.8427538869991622,None,8,3,35,3,,,,,114.94548188100043,,114.93401064100044,114.94548188100043,115.94366324300017,115.94366324300017,115.94366324300017,115.94366324300017,115.95798090800008,116.9423010860005,116.9423010860005,117.80030341200063,z,1,0.8427538869991622,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
-50,x,36,0,9,x,1,0.683973283999876,None,9,0,36,0,,,,,117.81120403900013,,117.80067814099993,117.81120403900013,118.80896068900029,118.80896068900029,118.80896068900029,118.80896068900029,118.80896068900029,119.81190097700028,119.81190097700028,120.5010988099998,x,1,0.683973283999876,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
150,v,37,1,9,v,1,0.7400734460006788,None,9,1,37,1,,,,,120.51183747799996,,120.50147183400031,120.51183747799996,121.51177758899985,121.51177758899985,121.51177758899985,121.51177758899985,121.51177758899985,122.50956109900062,122.50956109900062,123.26161676699985,v,1,0.7400734460006788,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
50,c,38,2,9,c,1,0.6939818589999049,None,9,2,38,2,,,,,123.27396606200045,,123.26196256899993,123.27396606200045,124.26493503699976,124.26493503699976,124.26493503699976,124.26493503699976,124.27929405500026,125.2672456690002,125.2672456690002,125.96365230699985,c,1,0.6939818589999049,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
-150,z,39,3,9,z,1,0.7032711789997848,None,9,3,39,3,,,,,125.97580378800058,,125.96418140800006,125.97580378800058,126.97417364700004,126.97417364700004,126.97417364700004,126.97417364700004,126.97417364700004,127.97450254299974,127.97450254299974,128.70519199599994,z,1,0.7032711789997848,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
-50,x,40,0,10,x,1,0.6917604150003172,None,10,0,40,0,,,,,128.71653370000013,,128.7055564520001,128.71653370000013,129.7134961450006,129.7134961450006,129.7134961450006,129.7134961450006,129.7134961450006,130.71086824500026,130.71086824500026,131.41199266400008,x,1,0.6917604150003172,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
150,v,41,1,10,v,1,0.8333445440002833,None,10,1,41,1,,,,,131.42431887400062,,131.4125088120004,131.42431887400062,132.42963711600032,132.42963711600032,132.42963711600032,132.42963711600032,132.42963711600032,133.41852736600003,133.41852736600003,134.25834269899997,v,1,0.8333445440002833,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
50,c,42,2,10,c,1,0.7102857360005146,None,10,2,42,2,,,,,134.27009775099987,,134.25871039500043,134.27009775099987,135.26050348299987,135.26050348299987,135.26050348299987,135.26050348299987,135.27499486399984,136.26216912900009,136.26216912900009,136.98271174400043,c,1,0.7102857360005146,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
-150,z,43,3,10,z,1,0.7219484810002541,None,10,3,43,3,,,,,136.99428474700062,,136.98309091300007,136.99428474700062,137.98539854900037,137.98539854900037,137.98539854900037,137.98539854900037,137.99870982899984,138.9791312860002,138.9791312860002,139.71114140200052,z,1,0.7219484810002541,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
-50,x,44,0,11,x,1,0.7202119600005972,None,11,0,44,0,,,,,139.72359767599983,,139.71150610999985,139.72359767599983,140.7152854360006,140.7152854360006,140.7152854360006,140.7152854360006,140.72902714300062,141.714616363,141.714616363,142.4497060839999,x,1,0.7202119600005972,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
150,v,45,1,11,v,1,0.8270090310006708,None,11,1,45,1,,,,,142.4603230080006,,142.4500883830001,142.4603230080006,143.44901047899975,143.44901047899975,143.44901047899975,143.44901047899975,143.46245788700026,144.4459098150005,144.4459098150005,145.28647736599987,v,1,0.8270090310006708,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
50,c,46,2,11,c,1,0.6910366609999983,None,11,2,46,2,,,,,145.29867520300058,,145.28690300900007,145.29867520300058,146.29392551200044,146.29392551200044,146.29392551200044,146.29392551200044,146.3079285130002,147.29572235099977,147.29572235099977,147.99151381300044,c,1,0.6910366609999983,None,,,,,956527,001,2024-10-17_22h47.21.728,motor sequence learning,2024.2.1,None,2024-10-17 22h47.32.257435 +0530,
