delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.1,1000.0,unexp,10,0,1,space,0.3929351570000108,None,400,1,[1.7623958980000225],[1.762410272000011],1,0,10,0,75.21108794199995,,75.19798512099999,75.21108794199995,76.21107347500003,76.21107347500003,76.21107347500003,76.621662948,space,0.3929351570000108,None,76.62238882199995,76.73369456066668,77.063532925,77.03802668100002,77.03895412899999,77.063532925,77.063532925,77.063532925,78.82784983099998,400,1,[1.7623958980000225],[1.762410272000011],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.4,1000.0,unexp,11,1,1,space,0.43100922500002525,None,560,1,[2.419160531999978],[2.41917862899993],1,1,11,1,78.84102265499996,,78.82832801500001,78.84102265499996,79.84286130099997,79.84286130099997,79.84286130099997,80.288545484,space,0.43100922500002525,None,80.28922728399994,80.69536678966666,81.01298814300003,80.98874422899996,80.98943802600002,81.01298814300003,81.01298814300003,81.01298814300003,83.43343970900003,560,1,[2.419160531999978],[2.41917862899993],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.4,400.0,exp,12,2,1,space,7.108906282000021,None,600,1,[31.91699447899998],[31.917011677999994],1,2,12,7,83.44666017700001,,83.43373544400004,83.44666017700001,84.44549396100001,84.44549396100001,84.44549396100001,91.55978108800002,space,7.108906282000021,None,91.560910004,91.96207114266669,92.29668627199999,92.27362311399997,92.27436621100003,92.29668627199999,92.29668627199999,92.29668627199999,124.21528303100001,600,1,[31.91699447899998],[31.917011677999994],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.1,1000.0,unexp,13,3,1,space,0.38925217799999245,None,350,1,[3.238930355000093],[3.2389475580000635],1,3,13,3,124.22958889799997,,124.21574001499994,124.22958889799997,125.22817017599994,125.22817017599994,125.24391891699997,125.623141186,space,0.38925217799999245,None,125.623910465,125.73356079666668,126.06369553100001,126.038235009,126.03915124599996,126.06369553100001,126.06369553100001,126.06369553100001,129.30402415499998,350,1,[3.238930355000093],[3.2389475580000635],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.1,400.0,exp,14,4,1,space,0.41111875699994016,None,300,1,[3.580535904000044],[3.580547225000032],1,4,14,6,129.31775825,,129.30450750499995,129.31775825,130.31024163999996,130.31024163999996,130.32940999100003,130.74277032399993,space,0.41111875699994016,None,130.74393145099998,130.84189758766664,131.16512229900002,131.13842294100004,131.13931688799994,131.16512229900002,131.16512229900002,131.16512229900002,134.74733284800004,300,1,[3.580535904000044],[3.580547225000032],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.7,1000.0,unexp,15,5,1,space,0.33731222200003685,None,600,1,[3.4607678120000855],[3.460778729000026],1,5,15,2,134.76081067099994,,134.747748516,134.76081067099994,135.76186946300004,135.76186946300004,135.76186946300004,136.10663872700002,space,0.33731222200003685,None,136.10753236300002,136.8102925376667,137.13315380099993,137.104432449,137.10527674799994,137.13315380099993,137.13315380099993,137.13315380099993,140.59497186299996,600,1,[3.4607678120000855],[3.460778729000026],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.1,400.0,exp,16,6,1,space,0.5708261610000136,None,500,1,[1.9732423930000778],[1.9732589449999978],1,6,16,9,140.608051315,,140.59536251999998,140.608051315,141.59343791699996,141.59343791699996,141.61151804099995,142.17325554699994,space,0.5708261610000136,None,142.173982928,142.28117625966664,142.61488203199997,142.58890196899995,142.58984712699998,142.61488203199997,142.61488203199997,142.61488203199997,144.58974956500003,500,1,[1.9732423930000778],[1.9732589449999978],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.7,400.0,exp,17,7,1,space,0.6887977349999801,None,400,1,[1.9317675329999702],[1.9317838270000038],1,7,17,5,144.60638770100002,,144.590051463,144.60638770100002,145.59470803399995,145.59470803399995,145.61198794300003,146.28945168799999,space,0.6887977349999801,None,146.29018591399995,146.99455433666665,147.31361685900004,147.28858600900003,147.289291435,147.31361685900004,147.31361685900004,147.31361685900004,149.24761984099996,400,1,[1.9317675329999702],[1.9317838270000038],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.7,400.0,exp,18,8,1,space,98.05531486299992,None,400,1,[18.537462648000087],[18.537477323000076],1,8,18,8,149.261448491,,149.24804757899994,149.261448491,150.26087699799996,150.26087699799996,150.279587095,248.32753837400003,space,98.05531486299992,None,248.32852844499996,249.02758118466662,249.36357006100002,249.33793025199998,249.33859964399994,249.36357006100002,249.36357006100002,249.36357006100002,267.902727334,400,1,[18.537462648000087],[18.537477323000076],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.4,1000.0,unexp,19,9,1,space,0.35656084100003227,None,800,1,[3.5053998519999823],[3.505418512999995],1,9,19,4,267.91654461300004,,267.90336396199996,267.91654461300004,268.90980505799996,268.90980505799996,268.92875385,269.27401899099993,space,0.35656084100003227,None,269.27486829400004,269.6764279616666,270.01175875399997,269.987044881,269.987822437,270.01175875399997,270.01175875399997,270.01175875399997,273.519032919,800,1,[3.5053998519999823],[3.505418512999995],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.4,1000.0,unexp,20,0,2,space,0.685067158000038,None,200,1,[1.4550097320000077],[1.455027125000015],2,0,20,1,273.53264151999997,,273.51952010599996,273.53264151999997,274.529132225,274.529132225,274.54501266299997,275.222427361,space,0.685067158000038,None,275.22309238599996,275.6250948746666,275.943919394,275.92202707,275.92275892299995,275.943919394,275.943919394,275.943919394,277.40064413899995,200,1,[1.4550097320000077],[1.455027125000015],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.1,400.0,exp,21,1,2,space,1.9365480279999474,None,100,1,[1.4945138699999916],[1.4945298960000173],2,1,21,6,277.41464108699995,,277.401039362,277.41464108699995,278.41348065499994,278.41348065499994,278.431538358,280.358587652,space,1.9365480279999474,None,280.35977547100003,280.46422963066664,280.78913202599995,280.75859373899993,280.76020465299996,280.78913202599995,280.78913202599995,280.78913202599995,282.284951449,100,1,[1.4945138699999916],[1.4945298960000173],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.7,400.0,exp,22,2,2,space,0.5416560870000922,None,50,1,[1.5991522089999535],[1.5991700809998974],2,2,22,5,282.29808772399997,,282.28528685899994,282.29808772399997,283.29249375200004,283.29249375200004,283.31007397400003,283.842094472,space,0.5416560870000922,None,283.84289740099996,284.5444954556666,284.862522644,284.837879845,284.838608903,284.862522644,284.862522644,284.862522644,286.46363443999996,50,1,[1.5991522089999535],[1.5991700809998974],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.1,400.0,exp,23,3,2,space,0.2349408449999828,None,40,1,[1.5397752779999792],[1.5397879719999992],2,3,23,9,286.478261258,,286.46411493200003,286.478261258,287.478896447,287.478896447,287.478896447,287.72337601699996,space,0.2349408449999828,None,287.7242606,287.8413414126667,288.16389732100004,288.13758596499997,288.138494027,288.16389732100004,288.16389732100004,288.16389732100004,289.70516987400003,40,1,[1.5397752779999792],[1.5397879719999992],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.1,1000.0,unexp,24,4,2,space,0.23878026399995633,None,50,1,[1.4506865139999263],[1.4507275769999524],2,4,24,0,289.71865351299994,,289.70556487,289.71865351299994,290.70920880200003,290.70920880200003,290.729141281,290.95635484499996,space,0.23878026399995633,None,290.95740419699996,291.05673131466665,291.38404996500003,291.35597298999994,291.357097029,291.38404996500003,291.38404996500003,291.38404996500003,292.83596948599995,50,1,[1.4506865139999263],[1.4507275769999524],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.4,400.0,exp,25,5,2,space,0.2210079249999808,None,70,1,[1.5839019669999743],[1.5839210770000136],2,5,25,7,292.84920149100003,,292.836317526,292.84920149100003,293.84257573799994,293.84257573799994,293.86083219499994,294.072409255,space,0.2210079249999808,None,294.07310113999995,294.47642587666667,294.793285695,294.770704368,294.771431078,294.793285695,294.793285695,294.793285695,296.37932753999996,70,1,[1.5839019669999743],[1.5839210770000136],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.7,1000.0,unexp,26,6,2,space,0.28907338099998015,None,60,1,[4.40288095599999],[4.4029236490000585],2,6,26,2,296.39279259599994,,296.37970022699994,296.39279259599994,297.392629071,297.392629071,297.392629071,297.68942637199996,space,0.28907338099998015,None,297.690081439,298.3932990126666,298.729386676,298.70167578999997,298.70246643099995,298.729386676,298.729386676,298.729386676,303.133457215,60,1,[4.40288095599999],[4.4029236490000585],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.7,400.0,exp,27,7,2,space,1.1062775010000223,None,45,1,[3.386103960000014],[3.3861255290000827],2,7,27,8,303.146724596,,303.13376846999995,303.146724596,304.141319908,304.141319908,304.15963306000003,305.256707873,space,1.1062775010000223,None,305.25775652699997,305.95745517166665,306.28229525899997,306.252772777,306.253679004,306.28229525899997,306.28229525899997,306.28229525899997,309.670136778,45,1,[3.386103960000014],[3.3861255290000827],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.1,1000.0,unexp,28,8,2,space,0.3272818420000476,None,30,1,[1.2281880489999821],[1.2282060590000583],2,8,28,3,309.683365021,,309.670438667,309.683365021,310.67735094399995,310.67735094399995,310.69412872099997,311.02196248999996,space,0.3272818420000476,None,311.02268830900005,311.1388624706666,311.46166962099994,311.43633718699994,311.437134668,311.46166962099994,311.46166962099994,311.46166962099994,312.69170627100004,30,1,[1.2281880489999821],[1.2282060590000583],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
0.4,1000.0,unexp,29,9,2,space,0.23757640299993454,None,30,1,[2.460412038999948],[2.460424266000018],2,9,29,4,312.70484759199996,,312.69220481900004,312.70484759199996,313.694776351,313.694776351,313.712518071,313.93940603399994,space,0.23757640299993454,None,313.94020909899996,314.34719514866663,314.680764918,314.653264983,314.654096354,314.680764918,314.680764918,314.680764918,317.142886181,30,1,[2.460412038999948],[2.460424266000018],989988,001,2024-11-13_18h26.23.913,intentional binding,2024.2.1,None,2024-11-13 18h26.34.973807 +0530,
