trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
140,0,140,0,236.74209989997325,,236.701648199989,10,236.74209989997325,236.74209989997325,0.02810890000546351,238.48084039997775,[0.233125],[-0.468125],[1],[0],[0],[1.7514021999959368],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
141,0,141,0,238.508425899985,,238.4847847999772,5,238.508425899985,238.508425899985,0.015286099980585277,239.931417099986,[0.0325],[-0.156875],[1],[0],[0],[1.431658100016648],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
142,0,142,0,239.96098889998393,,239.93644239997957,5,239.96098889998393,239.96098889998393,0.01634930001455359,241.4147669999802,[0.14125],[0.49875],[1],[0],[0],[1.4626560999895446],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
143,0,143,0,241.44135049998295,,241.4183055999747,5,241.44135049998295,241.44135049998295,0.015438000002177432,243.48095909997937,[0.1525],[-0.305],[1],[0],[0],[2.0474618000152986],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
144,0,144,0,243.51108449997264,,243.48567779999576,5,243.51108449997264,243.51108449997264,0.017491099977632985,244.9810179999913,[-0.3925],[0.325625],[1],[0],[0],[1.4782797000079881],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
145,0,145,0,245.0268347999954,,244.9846225999936,10,245.0268347999954,245.0268347999954,0.02871179999783635,246.51433279999765,[0.026875],[-0.2925],[1],[0],[0],[1.5013713000225835],[],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
146,0,146,0,246.55784639998456,,246.51799059999757,10,246.55784639998456,246.55784639998456,0.02613859999109991,247.68121489998884,[-0.09625],[0.06625],[1],[0],[0],[1.1374241999874357],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
147,0,147,0,247.72660789999645,,247.6848966999969,10,247.72660789999645,247.72660789999645,0.028947099985089153,249.96473599999445,[0.224375],[-0.02625],[1],[0],[0],[2.251220399979502],[],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
148,0,148,0,249.99181329997373,,249.96844189998228,5,249.99181329997373,249.99181329997373,0.015494200022658333,251.19799329998204,[-0.09375],[-0.0425],[1],[0],[0],[1.214459100010572],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
149,0,149,0,251.22629069999675,,251.20159369998146,5,251.22629069999675,251.22629069999675,0.015268799994373694,252.91446439997526,[0.258125],[-0.226875],[1],[0],[0],[1.697945099993376],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
150,0,150,0,252.9408142999746,,252.9180062999949,5,252.9408142999746,252.9408142999746,0.015088199987076223,254.0642947999877,[0.045625],[0.035],[1],[0],[0],[1.1316092000051867],[],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
151,0,151,0,254.09188759999233,,254.06784909998532,5,254.09188759999233,254.09188759999233,0.015968099993187934,256.08088829999906,[0.415],[-0.435],[1],[0],[0],[1.9974088999733794],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
152,0,152,0,256.1255792999873,,256.084497999982,10,256.1255792999873,256.1255792999873,0.027986600005533546,256.980250899971,[0.335625],[-0.11625],[1],[0],[0],[0.8680233999912161],[],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
153,0,153,0,257.027363399975,,256.98444029997336,10,257.027363399975,257.027363399975,0.0322452999826055,259.11331679997966,[0.249375],[0.45875],[1],[0],[0],[2.0973185000184458],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
154,0,154,0,259.15806479999446,,259.1169204999751,10,259.15806479999446,259.15806479999446,0.028816299978643656,260.44748149998486,[0.20875],[0.40875],[1],[0],[0],[1.3020242000056896],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
155,0,155,0,260.47639239998534,,260.4511554999917,5,260.47639239998534,260.47639239998534,0.01711840002099052,261.66403519999585,[0.02625],[-0.224375],[1],[0],[0],[1.1960878999962006],[],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
156,0,156,0,261.6910740999738,,261.6677053999738,5,261.6910740999738,261.6910740999738,0.015187599987257272,263.2140100999968,[-0.49],[-0.1375],[1],[0],[0],[1.5314300999743864],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
157,0,157,0,263.24277259997325,,263.21780859999126,5,263.24277259997325,263.24277259997325,0.015588900016155094,264.5974461999722,[-0.281875],[-0.103125],[1],[0],[0],[1.3644791999831796],[],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
158,0,158,0,264.64298449998023,,264.601170799986,10,264.64298449998023,264.64298449998023,0.029199799988418818,266.5291971999977,[0.13875],[-0.465],[1],[0],[0],[1.899220500024967],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
159,0,159,0,266.5742249999894,,266.5328886999923,10,266.5742249999894,266.5742249999894,0.02837860002182424,268.0305263999908,[0.06375],[-0.15625],[1],[0],[0],[1.4694362000154797],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
160,0,160,0,268.0685277999728,,268.0358188999817,5,268.0685277999728,268.0685277999728,0.023087600013241172,270.1468188999861,[0.444375],[-0.116875],[1],[0],[0],[2.0884841000079177],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
161,0,161,0,270.19046019998495,,270.15012739997474,10,270.19046019998495,270.19046019998495,0.027883000002475455,272.09690709999995,[-0.483125],[-0.120625],[1],[0],[0],[1.9187562000006437],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
162,0,162,0,272.12412979998044,,272.1010814999754,5,272.12412979998044,272.12412979998044,0.015669799991883337,273.29724609997356,[-0.425625],[-0.4425],[1],[0],[0],[1.1807134000118822],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
163,0,163,0,273.3264845999947,,273.30027919998975,5,273.3264845999947,273.3264845999947,0.018329199985601008,275.097438399971,[0.116875],[0.00375],[1],[0],[0],[1.7791024000034668],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
164,0,164,0,275.12691859999904,,275.10222679999424,5,275.12691859999904,275.12691859999904,0.016627100005280226,276.49710339997546,[0.329375],[-0.306875],[1],[0],[0],[1.3787799999990966],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
165,0,165,0,276.5480348999845,,276.50252039998304,10,276.5480348999845,276.5480348999845,0.03518559999065474,277.6304919999966,[0.154375],[-0.280625],[1],[0],[0],[1.09345270000631],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
166,0,166,0,277.6817357999971,,277.6334478999779,10,277.6817357999971,277.6817357999971,0.033502599981147796,279.4960888999922,[0.165],[0.17875],[1],[0],[0],[1.8293111000093631],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
167,0,167,0,279.54345369999646,,279.499765799992,10,279.54345369999646,279.54345369999646,0.028718800022033975,281.2130098999769,[0.024375],[0.33375],[1],[0],[0],[1.684848700009752],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
168,0,168,0,281.240230699972,,281.2167225999874,5,281.240230699972,281.240230699972,0.015918899996904656,282.71371709997766,[-0.33375],[0.2],[1],[0],[0],[1.4814710000064224],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
169,0,169,0,282.76152459997684,,282.7173592999752,10,282.76152459997684,282.76152459997684,0.03103509999345988,283.94690849998733,[-0.3825],[0.10125],[1],[0],[0],[1.1988246000255458],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
170,0,170,0,283.97508139998536,,283.9506282999937,5,283.97508139998536,283.97508139998536,0.015951300010783598,285.8295738999732,[-0.085625],[-0.345625],[1],[0],[0],[1.8633803999982774],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
171,0,171,0,285.8754237999965,,285.8331364999758,10,285.8754237999965,285.8754237999965,0.029720600025029853,287.2461097999767,[0.074375],[0.19875],[1],[0],[0],[1.3835790999874007],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
172,0,172,0,287.29216449998785,,287.24976439998136,10,287.29216449998785,287.29216449998785,0.02822150001884438,288.6960311999719,[-0.445625],[-0.099375],[1],[0],[0],[1.4184549000055995],['target'],487467,001,2024-10-04_11h20.40.654,Visual.Search_priyanshiAU2220101,2024.1.5,None,2024-10-04 11h20.49.226122 +0530,
