thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
89,0,89,down,1,0.13478064099945186,None,0,89,0,89,0,103.62734772799922,,103.61562367099941,103.62734772799922,104.624803445,104.64161109899942,104.76451490399995,down,1,0.13478064099945186,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
90,0,90,down,1,0.05647824200059404,None,0,90,0,90,0,104.77655566099929,,104.76479857399863,104.77655566099929,105.7717850959998,105.78890032699928,105.83216853699923,down,1,0.05647824200059404,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
91,0,91,down,1,0.08427730000039446,None,-2,91,0,91,0,105.84426653699848,,105.83245499799887,105.84426653699848,106.84386372599874,106.84386372599874,106.94304521099912,down,1,0.08427730000039446,None,-2,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
92,0,92,down,1,0.13008155999887094,None,-5,92,0,92,0,106.95560232699972,,106.9435022359994,106.95560232699972,107.95619066699874,107.95619066699874,108.09677882899996,down,1,0.13008155999887094,None,-5,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
93,0,93,down,1,0.019414648000747547,None,4,93,0,93,0,108.10863467199852,,108.09705969599963,108.10863467199852,109.11204338699827,109.11204338699827,109.13529393799945,down,1,0.019414648000747547,None,4,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
94,0,94,down,1,0.04530035300012969,None,2,94,0,94,0,109.14758858599998,,109.13557177799885,109.14758858599998,110.14155780299916,110.15718737099996,110.19683194299978,down,1,0.04530035300012969,None,2,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
95,0,95,down,0,1.8996437939986208,None,0,95,0,95,0,110.2094083209995,,110.19709021999915,110.2094083209995,111.20541090299957,111.22294737299853,113.11431318299947,down,0,1.8996437939986208,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
96,0,96,down,1,0.5380649829985487,None,-2,96,0,96,0,113.12631429599969,,113.1146125439991,113.12631429599969,114.12300044399854,114.14179865499864,114.6633626189996,down,1,0.5380649829985487,None,-2,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
97,0,97,down,1,0.31048311599988665,None,1,97,0,97,0,114.67453345699869,,114.66367851199902,114.67453345699869,115.674331704,115.674331704,115.99745301099938,down,1,0.31048311599988665,None,1,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
98,0,98,down,1,0.07348856399949,None,3,98,0,98,0,116.00926429899846,,115.99773325899878,116.00926429899846,117.00550714999918,117.02327689199956,117.08292474599875,down,1,0.07348856399949,None,3,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
99,0,99,down,0,0.6949342770003568,None,0,99,0,99,0,117.09519113399983,,117.08319604499957,117.09519113399983,118.09072133299924,118.1080201019995,118.79642597299971,down,0,0.6949342770003568,None,0,700392,001,2024-09-14_13h46.49.702,signal detection,2024.2.1,None,2024-09-14 13h46.59.701719 +0530,
